PRODUK,FARMASI,E-COMMERCE,TOKO,ALAMAT,KOTA,BOX,JUAL (UNIT TERKECIL),HARGA UNIT TERKECIL,VALUE,% DISC,KATEGORI,SOURCE,NAMA PRODUK E-COMMERCE,RATING (Khusus shopee dan toped dikali 20),JML ULASAN,DILIHAT,DESKRIPSI,TANGGAL OBSERVASI
,,BUKALAPAK,Buzper,,Jakarta Pusat,,7,13000.0,,,"Super Seller 
Recommended Seller ",https://www.bukalapak.com/p/industrial/safety/masker/3r429uc-jual-masker-kain-anti-polusi-rewashable-1-pcs,Masker Kain Anti Polusi Rewashable 1 PCS,5.0,2,,"Sritex Masker Kain Anti Polusi Rewashable 1

Masker kain anti polusi ini menggunakan beberapa lapisan layer filter yang efektif melindungi Anda dari debu, asap dan serangan micro organisme. Sangat cocok digunakan saat berkendara motor menghindari debu jalanan yang dapat merusak paru-paru Anda.

Kenapa anda harus membeli produk ini?



Half Face Cover

Masker filter udara ini dapat menutupi hidung dan mulut Anda dari debu, asap dan bakteri dengan sangat baik, juga terdapat aluminum sheet yang pas dengan bentuk hidung Anda. Bentuk yang ergonomis mengikuti lekuk wajah membuat masker ini tidak gampang melorot berbeda dengan masker bedah yang tidak memiliki bentuk lekukan wajah.



Anti Pollution Filter

Masker anti polusi ini menggunakan filter anti polusi sehingga dapat secara ampuh melindungi Anda dari debu, asap dan serangan bakteri hingga 95%.



Rewashable Mask

Berbeda dengan masker bedah yang hanya sekali pakai, Masker anti polusi yang satu ini dapat digunakan berkali-kali dengan cara di cuci menggunakan menggunakan air dengan suhu maksimal 40 derajat.



Earloop Model

Masker kain anti polusi ini menggunakan tali pengikat pada bagian telinga. Model ini lebih praktis dan cepat untuk digunakan jika dibanding dengna model headloop jilbab.





Barang-barang yang Anda dapat dalam kotak produk:

1 x Sritex Masker Kain Anti Polusi Rewashable 1 PCS



**Mohon tanyakan stok terlebih dahulu sebelum order

**Claim Garansi harus menyertakan box dan nota pembelian asli, garansi dihitung setelah tanggal pembelian



7RHR42WH",2020-10-26 09:00:34
,,BUKALAPAK,Buzper,,Jakarta Pusat,,4,153000.0,,,"Super Seller 
Recommended Seller ",https://www.bukalapak.com/p/industrial/safety/masker/3badwsf-jual-masker-bedah-filter-udara-anti-polusi-virus-corona-3-ply-50-pcs-wiemin,Masker Bedah Filter Udara Anti Polusi Virus Corona 3-Ply 50 PCS WIEMIN,4.0,3,,"Masker udara ini menutupi setengah wajah Anda. Masker ini merupakan tipe masker bedah yang dapat efektif melindungi Anda dari serangan micro organisme dan virus. Sangat cocok digunakan untuk berkendara motor menghindari debu jalanan yang dapat merusak paru-paru Anda, Dapat juga digunakan untuk melindungi diri dari virus corona.



Features

Half Face Cover

Masker filter udara ini dapat menutupi hidung dan mulut Anda dari debu dengan baik, terdapat aluminum sheet yang pas dengan bentuk hidung Anda.



3-Ply

Masker anti polusi ini menggunakan 3 buah lapisan filter sehingga dapat secara ampuh melindungi Anda dari serangan virus.



Corona Virus Protection

Masker bedah ini juga digunakan untuk melindungi diri dari virus corona.



Package Contents

Barang-barang yang Anda dapat dalam kotak produk:



50 x WIEMIN Masker Bedah Filter Udara Anti Polusi Virus Corona 3-Ply





7RHR45XX",2020-10-26 09:00:39
,,BUKALAPAK,Buzper,,Jakarta Pusat,,2,14000.0,,,"Super Seller 
Recommended Seller ",https://www.bukalapak.com/p/industrial/safety/masker/3r427hc-jual-masker-hijab-headloop-kain-anti-polusi-rewashable-1-pcs,Masker Hijab Headloop Kain Anti Polusi Rewashable 1 PCS,5.0,1,,"Ready Hitam dan Putih



Masker hijab kain anti polusi ini menggunakan beberapa lapisan layer filter yang efektif melindungi Anda dari debu, asap dan serangan micro organisme. Sangat cocok digunakan saat berkendara motor menghindari debu jalanan yang dapat merusak paru-paru Anda.

Kenapa anda harus membeli produk ini?



Half Face Cover

Masker filter udara ini dapat menutupi hidung dan mulut Anda dari debu, asap dan bakteri dengan sangat baik, juga terdapat aluminum sheet yang pas dengan bentuk hidung Anda. Bentuk yang ergonomis mengikuti lekuk wajah membuat masker ini tidak gampang melorot berbeda dengan masker bedah yang tidak memiliki bentuk lekukan wajah.



Anti Pollution Filter

Masker headloop anti polusi ini menggunakan filter anti polusi sehingga dapat secara ampuh melindungi Anda dari debu, asap dan serangan bakteri hingga 95%.



Rewashable Mask

Berbeda dengan masker bedah yang hanya sekali pakai, Masker anti polusi yang satu ini dapat digunakan berkali-kali dengan cara di cuci menggunakan menggunakan air dengan suhu maksimal 40 derajat.



Headloop Model

Masker kain anti polusi ini menggunakan tali pengikat pada bagian kepala. Model ini lebih praktis digunakan bila Anda menggunakan hijab. Bisa juga digunakan untuk pria.





Barang-barang yang Anda dapat dalam kotak produk:

1 x Sritex Masker Hijab Kain 1 PCS



**Mohon tanyakan stok terlebih dahulu sebelum order

**Claim Garansi harus menyertakan box dan nota pembelian asli, garansi dihitung setelah tanggal pembelian



7RHR4SBK",2020-10-26 09:00:42
,,BUKALAPAK,Buzper,,Jakarta Pusat,,,460000.0,,,"Super Seller 
Recommended Seller ",https://www.bukalapak.com/p/industrial/safety/masker/3ci1w0t-jual-masker-gas-acid-full-face-6002cn-filter,Masker Gas Acid Full Face 6002CN Filter,,,,"Masker dengan model full face yang berfungsi untuk melindungi diri anda dari terkontaminasi zat gas seperti sulfur dioxide, chlorine, hydrogen sulfide, hydrogen fluoride, chlorine, gasification of phosgene, phosphorus dan organic chlorine pesticides. Sangat cocok digunakan oleh anda yang memiliki profesi terkait bidang pekerjaan yang berhubungan dengan zat-zat tersebut.



Features



High Protection

Masker penutup wajah ini membantu memberikan perlindungan terhadap partikular berbahaya dan berbagai gas ataupun uap yang kemungkinan besar terhirup pada saat anda berada di lingkungan kerja ataupun lingkungan yang memiliki udara rawan kontaminasi.



Full Face Design

Memiliki desain menutupi seluruh wajah, melindungi seluruh bagian depan wajah agar terhindar dari efek kontaminasi yang mungkin terjadi pada saat bekerja.



Cold Breathing Valve

Filter penyaring udara memberikan sirkulasi udara yang bersih untuk anda hirup dan membuang udara yang dikeluarkan dengan baik.



Adjustable Strap

Strap yang elastis dan dapat disesuaikan dengan kenyamanan pemakainya.



Package Content

Barang-Barang yang Anda dapatkan dari dalam kotak produk:



1 x Masker Gas Acid Full Face

2 x Cartridge 6002CN

2 x Cotton Filter

2 x Filter Cap





OMOTAJXX",2020-10-26 09:00:44
,,BUKALAPAK,Buzper,,Jakarta Pusat,,,358000.0,,,"Super Seller 
Recommended Seller ",https://www.bukalapak.com/p/industrial/safety/masker/3ci0afc-jual-masker-gas-acid-full-face-3m-6800-no-7,Masker Gas Acid Full Face 3M - 6800 no.7,,,,"Masker dengan model full face yang berfungsi untuk melindungi diri anda dari terkontaminasi zat gas seperti sulfur dioxide, chlorine, hydrogen sulfide, hydrogen fluoride, chlorine, gasification of phosgene, phosphorus dan organic chlorine pesticides. Sangat cocok digunakan oleh anda yang memiliki profesi terkait bidang pekerjaan yang berhubungan dengan zat-zat tersebut.



Features



High Protection

Masker penutup wajah ini membantu memberikan perlindungan terhadap partikular berbahaya dan berbagai gas ataupun uap yang kemungkinan besar terhirup pada saat anda berada di lingkungan kerja ataupun lingkungan yang memiliki udara rawan kontaminasi.



Full Face Design

Memiliki desain menutupi seluruh wajah, melindungi seluruh bagian depan wajah agar terhindar dari efek kontaminasi yang mungkin terjadi pada saat bekerja.



Cold Breathing Valve

Filter penyaring udara memberikan sirkulasi udara yang bersih untuk anda hirup dan membuang udara yang dikeluarkan dengan baik.



Adjustable Strap

Strap yang elastis dan dapat disesuaikan dengan kenyamanan pemakainya.



Package Content

Barang-Barang yang Anda dapatkan dari dalam kotak produk:



1 x 3M Masker Gas Acid Full Face - 6800 no.7

2 x Cartridge

2 x Filter





OMOTAEXX",2020-10-26 09:00:46
,,BUKALAPAK,Buzper,,Jakarta Pusat,,,354000.0,,,"Super Seller 
Recommended Seller ",https://www.bukalapak.com/p/industrial/safety/masker/3chzxg4-jual-masker-gas-organik-full-face-3m-6800-no-3,Masker Gas Organik Full Face 3M - 6800 No.3,,,,"Masker dengan model full face yang berfungsi untuk melindungi diri anda dari terkontaminasi zat gas seperti benzene, carbon tetrachloride, nitrobenzene and aniline, chloropicrin, chlorine, acetone, carbon disulfide, methyl bromide, methyl chloride, nitro alkanes,dll. Sangat cocok digunakan oleh anda yang memiliki profesi terkait bidang pekerjaan yang berhubungan dengan zat-zat tersebut.



Features



High Protection

Masker penutup wajah ini membantu memberikan perlindungan terhadap partikular berbahaya dan berbagai gas ataupun uap yang kemungkinan besar terhirup pada saat anda berada di lingkungan kerja ataupun lingkungan yang memiliki udara rawan kontaminasi.



Full Face Design

Memiliki desain menutupi seluruh wajah, melindungi seluruh bagian depan wajah agar terhindar dari efek kontaminasi yang mungkin terjadi pada saat bekerja.



Cold Breathing Valve

Filter penyaring udara memberikan sirkulasi udara yang bersih untuk anda hirup dan membuang udara yang dikeluarkan dengan baik.



Adjustable Strap

Strap yang elastis dan dapat disesuaikan dengan kenyamanan pemakainya.



Package Content

Barang-Barang yang Anda dapatkan dari dalam kotak produk:



1 x Masker Gas Organik Full Face - 6800 3#

2 x Cartridge

2 x Filter

1 x Carrying Bag





OMOTADXX",2020-10-26 09:00:49
,,BUKALAPAK,Sudiang Store,,Jakarta Pusat,,,252000.0,,0.5,"Super Seller 
Good Seller ",https://www.bukalapak.com/p/industrial/safety/masker/3rqn3hw-jual-masker-hijab-headloop-kain-12pcs,Masker Hijab Headloop Kain 12pcs,,,,"Sritex Masker Hijab Headloop Kain Anti Polusi Rewashable 1 PCS



Ready Warna

Hitam

Putih



Masker hijab kain anti polusi ini menggunakan beberapa lapisan layer filter yang efektif melindungi Anda dari debu, asap dan serangan micro organisme. Sangat cocok digunakan saat berkendara motor menghindari debu jalanan yang dapat merusak paru-paru Anda.



Masker filter udara ini dapat menutupi hidung dan mulut Anda dari debu, asap dan bakteri dengan sangat baik, juga terdapat aluminum sheet yang pas dengan bentuk hidung Anda. Bentuk yang ergonomis mengikuti lekuk wajah membuat masker ini tidak gampang melorot berbeda dengan masker bedah yang tidak memiliki bentuk lekukan wajah.



Masker headloop anti polusi ini menggunakan filter anti polusi sehingga dapat secara ampuh melindungi Anda dari debu, asap dan serangan bakteri hingga 95%.



Berbeda dengan masker bedah yang hanya sekali pakai, Masker anti polusi yang satu ini dapat digunakan berkali-kali dengan cara di cuci menggunakan menggunakan air dengan suhu maksimal 40 derajat.



Happy shopping :) SUDIANG STORE

7RHR4SBK",2020-10-26 09:00:55
,,BUKALAPAK,Buzper,,Jakarta Pusat,,1,99000.0,,,"Super Seller 
Recommended Seller ",https://www.bukalapak.com/p/industrial/safety/safety-lainnya/2rkm1a8-jual-lensa-pelindung-masker-gas-respirator-3m,Lensa Pelindung Masker Gas Respirator 3M,4.0,1,,"Hanya Lensa



Lensa masker gas untuk melindungi mata Anda dari kabut ketika menggunakan masker respirator yang belum memiliki lensa. Lensa respirator ini tahan terhadap kabut dan debu kotoran untuk menjaga penglihatan Anda tetap jelas.



Features

High Protection

Lensa ini melindungi kaca masker respirator udara agar penglihatan tetap jelas meskipun ditempat yang banyak asap ataupun berkabut.



Easy to Use

Lensa 3M ini dapat dipasangkan dengan cara merekatkan, tidak memerlukan lem tambahan.



Compatible

Lensa 3M ini dapat dipasangkan dengan cara merekatkan, tidak memerlukan lem tambahan.



Package Content

Barang-Barang yang Anda dapatkan dari dalam kotak produk:



1 x 3M Lensa Pelindung Masker Gas Respirator - 6885





8648529425799",2020-10-26 09:00:58
,,BUKALAPAK,KANAYASHOP12,,Tangerang,,105,125000.0,,,,https://www.bukalapak.com/p/industrial/safety/masker/3a1y16m-jual-masker-batik-3-ply-lapis-nyaman-di-pakai-1-lusin-12-pcs,Masker Batik 3 Ply Lapis - Nyaman Di Pakai - 1 Lusin 12 Pcs,4.9,14,,"Masker Batik 3 Lapis / 3 Ply



Harga tercantum untuk per 12 pcs ya kak..



Masker kain motif batik. Masker ini 3 lapis / 3 Ply

Mari beralih ke Masker kain ini, kualitasnya bagus harga murmer dilengkapi dengan berbagai macam motif yg keren dan trendy.

Demi keamanan kita semua ayo pakai masker kain biar lebih hemat dan tetep aman dari penyakit ya.

Bisa dipakai sekeluarga dan untuk teman2 terdekat jg.

Ayoo buruan diorder guyss!!



CATATAN : (Mohon dibaca sebelum membeli ya)

Barang dikirim kan random ya kak ( karna permintaan tinggi dan stok terbatas )



Mohon pengertiannya ya calon2 pembeli",2020-10-26 09:01:00
,,BUKALAPAK,DToys Store,,Jakarta Utara,,96,5250.0,,,"Super Seller 
Good Seller ",https://www.bukalapak.com/p/industrial/safety/masker/3lxp5yb-jual-face-shield-kacamata-anak-karakter,Face Shield Kacamata Anak Karakter,4.7,20,,"Keterangan Produk :
1 Frame 1 Mika = 1 Frame/ Gagang Kacamata + 1 Mika Asli ( TIDAK TERMASUK LENSA NYA )
UNTUK KACAMATA SEKARANG BUKAN BULAT YA KAK!!!
Ready Karakter :
Hello kitty2.Disney3.LOL4.Barbie5.Frozen
JIKA TIDAK ADA KARAKTER DIATAS KAMI KIRIM RANDOM,MOHON SMART BUYER . terima kasih.
Ukuran Mika :
-- Panjang : 15 cm
-- Lebar : 25 cm
Motif Anak anak terbagi :",2020-10-26 09:01:03
